year	month	births_gks
1956	1	294461
1956	2	241272
1956	3	252344
1956	4	239466
1956	5	233260
1956	6	217554
1956	7	226033
1956	8	223690
1956	9	210348
1956	10	218330
1956	11	215395
1956	12	197167
1957	1	290178
1957	2	229414
1957	3	258313
1957	4	241065
1957	5	236346
1957	6	213227
1957	7	230459
1957	8	234806
1957	9	227178
1957	10	240303
1957	11	229383
1957	12	200926
1958	1	294554
1958	2	232751
1958	3	251086
1958	4	238452
1958	5	239615
1958	6	212919
1958	7	210507
1958	8	219301
1958	9	232002
1958	10	241332
1958	11	234281
1958	12	212408
1959	1	289736
1959	2	230352
1959	3	252283
1959	4	239995
1959	5	234549
1959	6	219438
1959	7	232241
1959	8	234885
1959	9	222062
1959	10	222876
1959	11	210596
1959	12	207215
1960	1	280955
1960	2	238607
1960	3	258328
1960	4	238177
1960	5	237652
1960	6	218852
1960	7	229043
1960	8	227627
1960	9	219014
1960	10	222339
1960	11	215055
1960	12	196704
1961	1	265111
1961	2	217249
1961	3	242617
1961	4	228813
1961	5	229030
1961	6	211090
1961	7	218625
1961	8	220239
1961	9	211123
1961	10	217488
1961	11	208831
1961	12	191919
1962	1	249768
1962	2	204527
1962	3	226143
1962	4	216624
1962	5	217543
1962	6	202436
1962	7	210143
1962	8	204272
1962	9	189379
1962	10	189140
1962	11	185132
1962	12	187432
1963	1	234133
1963	2	194746
1963	3	215102
1963	4	203642
1963	5	202722
1963	6	190353
1963	7	195514
1963	8	191270
1963	9	178056
1963	10	180745
1963	11	176854
1963	12	168368
1964	1	213661
1964	2	184027
1964	3	198818
1964	4	186166
1964	5	184834
1964	6	171076
1964	7	175174
1964	8	169877
1964	9	161958
1964	10	164083
1964	11	159100
1964	12	153220
1965	1	189538
1965	2	163187
1965	3	183332
1965	4	173506
1965	5	173397
1965	6	162538
1965	7	164817
1965	8	164731
1965	9	156501
1965	10	158592
1965	11	151966
1965	12	148415
1966	1	182914
1966	2	158476
1966	3	179450
1966	4	170150
1966	5	177093
1966	6	159963
1966	7	164520
1966	8	161701
1966	9	153101
1966	10	155684
1966	11	148800
1966	12	145911
1967	1	176959
1967	2	151782
1967	3	167588
1967	4	161150
1967	5	159638
1967	6	152027
1967	7	159407
1967	8	153940
1967	9	142477
1967	10	144575
1967	11	139770
1967	12	141728
1968	1	167602
1968	2	148198
1968	3	164384
1968	4	155012
1968	5	156799
1968	6	149897
1968	7	154685
1968	8	151534
1968	9	142324
1968	10	144806
1968	11	142499
1968	12	138769
1969	1	164598
1969	2	144909
1969	3	161333
1969	4	159027
1969	5	165280
1969	6	154980
1969	7	160361
1969	8	156843
1969	9	147334
1969	10	148514
1969	11	141858
1969	12	142555
1970	1	169626
1970	2	151244
1970	3	168478
1970	4	164521
1970	5	168543
1970	6	159653
1970	7	164541
1970	8	159584
1970	9	151450
1970	10	150952
1970	11	146665
1970	12	148456
1971	1	176888
1971	2	152702
1971	3	173501
1971	4	167537
1971	5	172362
1971	6	166247
1971	7	169054
1971	8	163902
1971	9	158194
1971	10	160289
1971	11	157524
1971	12	156437
1972	1	176048
1972	2	162276
1972	3	178105
1972	4	171547
1972	5	174445
1972	6	173853
1972	7	173700
1972	8	169538
1972	9	156651
1972	10	161120
1972	11	160139
1972	12	157216
1973	1	178345
1973	2	157337
1973	3	172084
1973	4	165905
1973	5	175748
1973	6	169523
1973	7	174861
1973	8	169851
1973	9	157550
1973	10	155906
1973	11	156426
1973	12	161085
1974	1	181908
1974	2	162408
1974	3	181109
1974	4	178201
1974	5	184361
1974	6	178673
1974	7	181523
1974	8	173377
1974	9	165990
1974	10	169121
1974	11	163077
1974	12	160064
1975	1	181124
1975	2	161107
1975	3	179570
1975	4	176842
1975	5	184779
1975	6	184966
1975	7	188555
1975	8	180366
1975	9	169261
1975	10	167507
1975	11	163234
1975	12	168836
1976	1	187061
1976	2	168885
1976	3	182705
1976	4	180489
1976	5	189192
1976	6	187545
1976	7	191827
1976	8	184980
1976	9	174381
1976	10	171549
1976	11	164404
1976	12	163693
1977	1	185270
1977	2	164953
1977	3	186155
1977	4	184723
1977	5	188399
1977	6	183716
1977	7	191060
1977	8	183288
1977	9	171067
1977	10	175157
1977	11	170464
1977	12	172472
1978	1	187609
1978	2	168833
1978	3	186763
1978	4	182169
1978	5	189591
1978	6	188311
1978	7	193536
1978	8	185312
1978	9	174819
1978	10	177906
1978	11	171950
1978	12	172231
1979	1	185124
1979	2	164137
1979	3	186679
1979	4	184402
1979	5	194758
1979	6	189716
1979	7	192420
1979	8	186643
1979	9	173164
1979	10	177275
1979	11	172567
1979	12	171657
1980	1	185444
1980	2	170159
1980	3	190888
1980	4	189045
1980	5	195526
1980	6	191644
1980	7	197770
1980	8	185278
1980	9	173325
1980	10	176652
1980	11	172305
1980	12	174743
1981	1	188167
1981	2	170081
1981	3	191612
1981	4	187551
1981	5	197282
1981	6	196724
1981	7	200435
1981	8	189041
1981	9	180145
1981	10	180194
1981	11	177556
1981	12	177820
1982	1	194908
1982	2	177834
1982	3	195418
1982	4	189673
1982	5	199187
1982	6	201273
1982	7	204349
1982	8	199797
1982	9	188154
1982	10	189645
1982	11	191657
1982	12	196149
1983	1	210062
1983	2	190237
1983	3	216907
1983	4	209251
1983	5	219821
1983	6	214740
1983	7	220421
1983	8	211300
1983	9	198956
1983	10	198578
1983	11	194117
1983	12	193932
1984	1	204260
1984	2	190281
1984	3	208247
1984	4	201315
1984	5	209917
1984	6	207552
1984	7	212308
1984	8	205782
1984	9	197516
1984	10	195457
1984	11	186030
1984	12	190949
1985	1	208092
1985	2	184870
1985	3	202725
1985	4	197602
1985	5	206490
1985	6	204458
1985	7	211893
1985	8	203665
1985	9	192449
1985	10	192347
1985	11	182918
1985	12	187638
1986	1	200238
1986	2	182614
1986	3	209093
1986	4	213401
1986	5	215664
1986	6	215393
1986	7	226812
1986	8	213526
1986	9	204237
1986	10	205234
1986	11	195690
1986	12	204013
1987	1	216884
1987	2	196589
1987	3	219430
1987	4	217377
1987	5	224720
1987	6	219937
1987	7	218535
1987	8	204052
1987	9	196204
1987	10	198681
1987	11	192612
1987	12	194953
1988	1	200185
1988	2	191401
1988	3	208124
1988	4	200298
1988	5	210061
1988	6	208069
1988	7	210901
1988	8	200668
1988	9	184964
1988	10	182159
1988	11	172844
1988	12	178766
1989	1	191280
1989	2	173891
1989	3	190259
1989	4	179947
1989	5	189713
1989	6	189563
1989	7	189551
1989	8	184344
1989	9	169958
1989	10	172479
1989	11	163113
1989	12	166404
1990	1	179784
1990	2	161184
1990	3	175827
1990	4	168284
1990	5	175922
1990	6	174354
1990	7	174833
1990	8	167628
1990	9	153968
1990	10	154947
1990	11	149875
1990	12	152215
1991	1	164631
1991	2	148590
1991	3	163715
1991	4	156595
1991	5	160731
1991	6	154894
1991	7	155657
1991	8	147864
1991	9	140660
1991	10	138984
1991	11	131698
1991	12	130570
1992	1	147709
1992	2	134529
1992	3	143820
1992	4	134967
1992	5	140401
1992	6	142066
1992	7	140220
1992	8	131461
1992	9	122006
1992	10	121441
1992	11	115253
1992	12	113739
1993	1	124373
1993	2	110805
1993	3	123734
1993	4	119464
1993	5	121571
1993	6	118019
1993	7	120409
1993	8	115425
1993	9	109629
1993	10	108202
1993	11	102785
1993	12	104538
1994	1	123473
1994	2	112083
1994	3	126858
1994	4	121018
1994	5	122555
1994	6	122787
1994	7	124084
1994	8	120990
1994	9	113858
1994	10	110409
1994	11	104991
1994	12	105018
1995	1	123380
1995	2	109511
1995	3	122623
1995	4	116552
1995	5	120686
1995	6	116894
1995	7	118792
1995	8	116221
1995	9	108297
1995	10	106982
1995	11	101247
1995	12	102503
1996	1	113171
1996	2	104228
1996	3	112849
1996	4	112859
1996	5	115900
1996	6	111083
1996	7	115665
1996	8	109141
1996	9	100938
1996	10	104256
1996	11	101251
1996	12	103225
1997	1	115625
1997	2	100158
1997	3	110438
1997	4	106841
1997	5	109996
1997	6	108857
1997	7	113077
1997	8	106843
1997	9	97509
1997	10	97387
1997	11	93077
1997	12	100077
1998	1	111752
1998	2	102392
1998	3	112125
1998	4	111873
1998	5	110903
1998	6	112235
1998	7	115783
1998	8	109205
1998	9	104016
1998	10	102268
1998	11	93657
1998	12	97060
1999	1	109603
1999	2	99798
1999	3	106860
1999	4	104833
1999	5	103795
1999	6	108167
1999	7	108539
1999	8	102398
1999	9	96133
1999	10	93426
1999	11	87968
1999	12	93132
2000	1	111541
2000	2	100151
2000	3	109119
2000	4	103332
2000	5	108432
2000	6	109807
2000	7	111541
2000	8	109563
2000	9	104566
2000	10	102745
2000	11	97473
2000	12	98519
2001	1	113995
2001	2	100710
2001	3	112463
2001	4	107953
2001	5	110648
2001	6	113318
2001	7	118401
2001	8	114609
2001	9	106212
2001	10	108082
2001	11	102490
2001	12	102713
2002	1	123209
2002	2	104581
2002	3	117037
2002	4	113353
2002	5	114797
2002	6	120107
2002	7	128125
2002	8	122035
2002	9	116667
2002	10	116186
2002	11	109440
2002	12	111399
2005	1	129722
2005	2	113672
2005	3	126911
2005	4	118745
2005	5	121149
2005	6	124022
2005	7	130757
2005	8	127219
2005	9	122036
2005	10	117446
2005	11	113056
2005	12	112631
2006	1	126022
2006	2	111414
2006	3	125085
2006	4	117737
2006	5	120913
2006	6	128895
2006	7	132073
2006	8	134166
2006	9	127333
2006	10	124727
2006	11	116566
2006	12	114694
2007	1	132915
2007	2	115467
2007	3	129787
2007	4	122930
2007	5	131993
2007	6	132837
2007	7	146093
2007	8	147031
2007	9	140116
2007	10	142585
2007	11	134835
2007	12	133520
2008	1	146279
2008	2	131330
2008	3	136420
2008	4	135064
2008	5	135771
2008	6	142321
2008	7	158288
2008	8	154247
2008	9	150027
2008	10	148088
2008	11	135574
2008	12	140529
2009	1	148418
2009	2	133409
2009	3	147660
2009	4	140690
2009	5	140669
2009	6	149976
2009	7	163160
2009	8	156065
2009	9	151574
2009	10	148844
2009	11	138350
2009	12	142862
2010	1	148476
2010	2	135505
2010	3	149614
2010	4	144876
2010	5	147450
2010	6	154265
2010	7	161491
2010	8	155458
2010	9	151442
2010	10	150965
2010	11	142825
2010	12	146569
2011	1	148754
2011	2	131841
2011	3	146653
2011	4	135260
2011	5	136971
2011	6	154168
2011	7	166152
2011	8	165339
2011	9	159134
2011	10	153352
2011	11	147750
2011	12	151255
2012	1	152922
2012	2	147466
2012	3	156980
2012	4	146003
2012	5	152190
2012	6	161739
2012	7	172698
2012	8	174511
2012	9	163296
2012	10	165588
2012	11	155609
2012	12	153082
2013	1	157954
2013	2	140198
2013	3	151585
2013	4	149343
2013	5	154049
2013	6	161292
2013	7	174839
2013	8	172218
2013	9	164633
2013	10	163536
2013	11	151620
2013	12	154555
2014	1	160776
2014	2	145492
2014	3	158185
2014	4	156471
2014	5	160122
2014	6	165172
2014	7	180725
2014	8	173589
2014	9	168027
2014	10	167391
2014	11	148598
2014	12	158135
2015	1	156619
2015	2	143425
2015	3	158032
2015	4	156080
2015	5	156009
2015	6	167701
2015	7	182130
2015	8	172263
2015	9	168217
2015	10	166296
2015	11	153452
2015	12	160354
2016	1	155335
2016	2	147238
2016	3	156811
2016	4	151404
2016	5	157753
2016	6	166588
2016	7	173955
2016	8	172207
2016	9	161438
2016	10	152451
2016	11	146941
2016	12	146607
2017	1	143259
2017	2	128776
2017	3	141491
2017	4	130711
2017	5	137911
2017	6	147743
2017	7	154715
2017	8	154455
2017	9	142417
2017	10	141558
2017	11	134829
2017	12	132442
2018	1	137432
2018	2	120833
2018	3	133867
2018	4	128286
2018	5	130298
2018	6	137187
2018	7	146199
2018	8	148258
2018	9	136661
2018	10	137500
2018	11	125731
2018	12	122092
